Time,Code,Notes
0:19,start,
0:40,code,
0:40,comment,
4:20,frustrated,
5:30,observer,unsolicited feedback
5:49,comment,
6:35,observer,unsolicited feedback
9:05,comment,
11:30,pause,yes
13:00,question,
13:30,code,
14:35,question,
14:58,pause,yes
14:59,frustrated,
15:20,question,
16:40,code,
17:25,question,
19:40,frustrated,
20:08,invalid syntax error,yes
20:23,question,
20:45,invalid syntax error,yes
20:51,observer,unsolicited feedback
20:57,variable reference error,yes
21:05,observer,unsolicited feedback
21:25,observer,unsolicited feedback
21:33,object not interable error,yes
21:41,observer,unsolicited feedback
21:47,expected integer error,yes
22:00,index out of range error,yes
22:20,observer,unsolicited feedback
22:55,invalid syntax error,yes
22:59,observer,unsolicited feedback
